OBJECTID,CaseID,City,State,Country,Number_of_Victim_Fatalities,Total_Number_of_Fatalities,Number_of_Victims_Injured,Total_Number_of_Victims,Date,Day_of_Week,Average_Shooter_Age,Shooter_Sex,Shooter_Race,Type_of_Gun_General,Number_of_Shotguns,Number_of_Rifles,Number of Handguns,Total_Number_of_Guns,Number_of_Automatic_Guns,Number_of_Semi_Automatic_Guns,Fate_of_Shooter_at_the_scene,Shooter's Cause of Death,School Related,Place Type,Relationship to Incident Location,Targeted Victim/s-General,Possible Motive - General,History_of_Mental_Illness_General,Military_Experience,Class,lat,log
63,60,Bethel,Alaska,US,2,2,2,4,97-02-19,Wednesday,16,Male,White American or European American,Shotgun,1,0,0,1,0,0,Arrested,Not applicable,Yes,Secondary school,Place of schooling,Students/Classmates/Teacher,Harassment,Yes,Unknown,MS,60.79053882,-161.7927517
64,61,Aiken,South Carolina,US,4,4,3,7,97-09-15,Monday,43,Male,Black American or African American,Handgun,0,0,1,1,0,1,Arrested,Not applicable,No,Company/Factory/Office,Place of business/employment,Colleague/Workmate/Business acquaintance,Terminated/Denied/Reprimanded,No,Unknown,MM,33.47524551,-81.72595949
65,62,Pearl,Mississippi,US,2,2,7,9,97-10-01,Wednesday,16,Male,White American or European American,Rifle,0,1,0,1,0,0,Arrested,Not applicable,Yes,Secondary school,Place of schooling,Students/Classmates/Teacher,Social dispute,Yes,Unknown,MS,32.27492783,-90.09470655
66,63,West Paducah,Kentucky,US,3,3,5,8,97-12-01,Monday,14,Male,White American or European American,Multiple guns,1,1,1,3,0,1,Arrested,Not applicable,Yes,Secondary school,Place of schooling,Students/Classmates/Teacher,Mental illness,Yes,Unknown,MS,37.08506,-88.74422
67,65,Orange,California,US,4,5,2,6,97-12-18,Thursday,41,Male,Some other race,Rifle,0,1,0,1,0,1,Deceased,Killed,No,Company/Factory/Office,Place of business/employment,Colleague/Workmate/Business acquaintance,Terminated/Denied/Reprimanded,No,Unknown,MM,33.78935598,-117.820412
68,64,Milwaukee,Wisconsin,US,1,2,2,3,97-12-19,Thursday,37,Male,Black American or African American,Handgun,0,0,1,1,0,1,Deceased,Suicide,No,Government facility,Place of business/employment,Colleague/Workmate/Business acquaintance,Multiple motives,No,Yes,MS,43.06420322,-87.96724385
69,66,Newington,Connecticut,US,4,5,0,4,98-03-06,Friday,35,Male,White American or European American,Handgun,0,0,1,1,0,1,Deceased,Suicide,No,Company/Factory/Office,Place of business/employment,Colleague/Workmate/Business acquaintance,Terminated/Denied/Reprimanded,Yes,Unknown,MM,41.68700845,-72.73083927
70,67,Jonesboro,Arkansas,US,5,5,10,15,98-03-24,Tuesday,12,Male,White American or European American,Multiple guns,0,3,7,10,0,1,Arrested,Not applicable,Yes,Primary school,Place of schooling,Students/Classmates/Teacher,Rejection,No,Unknown,MM,35.82083155,-90.67950058
71,68,Edinboro,Pennsylvania,US,1,1,3,4,98-04-24,Friday,14,Male,White American or European American,Handgun,0,0,1,1,0,1,Arrested,Not applicable,Yes,Restaurant/Cafe,Place of recreation,Students/Classmates/Teacher,Mental illness,Yes,Unknown,MS,41.87617136,-80.12459632
72,69,Springfield,Oregon,US,4,4,25,29,98-05-21,Thursday,15,Male,White American or European American,Multiple guns,0,1,2,3,0,1,Arrested,Not applicable,Yes,Secondary school,Place of schooling,Students/Classmates/Teacher,Mental illness,Yes,Unknown,SPK,44.05489698,-123.0075562
73,70,Riverside,California,US,0,0,6,6,98-10-06,Tuesday,48,Male,Black American or African American,Handgun,0,0,1,1,0,1,Arrested,Not applicable,No,Government facility,Local government,Government,Terminated/Denied/Reprimanded,No,Unknown,MS,33.93814348,-117.3948409
74,71,Littleton,Colorado,US,13,15,24,37,99-04-20,Tuesday,17.5,Male,White American or European American,Multiple guns,2,1,1,4,0,1,Deceased,Suicide,Yes,Secondary school,Place of schooling,Students/Classmates/Teacher,Multiple motives,Yes,Unknown,MM,39.59358263,-105.0152112
75,72,Conyers,Georgia,US,0,0,6,6,99-05-20,Thursday,15,Male,White American or European American,Multiple guns,0,1,1,2,0,1,Arrested,Not applicable,Yes,Secondary school,Place of schooling,Students/Classmates/Teacher,Rejection,No,Unknown,MS,33.66086267,-84.02688527
76,73,Atlanta,Georgia,US,9,10,12,21,99-07-29,Thursday,44,Male,White American or European American,Handgun,0,0,4,4,0,3,Deceased,Suicide,No,Company/Factory/Office,Place of business/employment,Colleague/Workmate/Business acquaintance,Financial dispute,Yes,Unknown,SPK,33.7629969,-84.4231328
77,74,Fort Worth,Texas,US,7,8,7,14,99-09-15,Wednesday,47,Male,White American or European American,Handgun,0,0,2,2,0,2,Deceased,Suicide,No,Place of worship,Place of residency,Racial/Religious group,Political/Religious ideals,Yes,Unknown,MM,32.74802142,-97.31305148
78,75,Honolulu,Hawaii,US,7,7,0,7,99-11-02,Tuesday,40,Male,Asian American,Handgun,0,0,1,1,0,1,Escaped,Not applicable,No,Company/Factory/Office,Place of business/employment,Colleague/Workmate/Business acquaintance,Multiple motives,Yes,Unknown,MM,21.309106,-157.844998
79,76,Fort Gibson,Oklahoma,US,0,0,4,4,99-12-06,Monday,13,Male,White American or European American,Handgun,0,0,1,1,0,1,Arrested,Not applicable,Yes,Primary school,Place of schooling,Students/Classmates/Teacher,Unknown,No,Unknown,MS,35.77669911,-95.25996596
80,77,Tampa,Florida,US,5,5,3,8,99-12-30,Thursday,36,Male,Some other race,Handgun,0,0,2,2,0,2,Arrested,Not applicable,No,Retail/Wholesale/Services facility,Place of business/employment,Colleague/Workmate/Business acquaintance,Unknown,No,Unknown,MM,27.99601861,-82.44503769
81,78,Boston,Massachusetts,US,7,7,0,7,00-12-26,Tuesday,42,Male,Some other race,Multiple guns,1,1,1,3,0,1,Arrested,Not applicable,No,Company/Factory/Office,Place of business/employment,Colleague/Workmate/Business acquaintance,Financial dispute,No,Yes,MM,42.30904091,-71.10271358
82,79,Melrose Park,Illinois,US,5,6,4,9,01-02-05,Monday,66,Male,Black American or African American,Multiple guns,1,2,1,4,0,1,Deceased,Suicide,No,Company/Factory/Office,Place of business/employment,Colleague/Workmate/Business acquaintance,Terminated/Denied/Reprimanded,No,Unknown,MM,41.90289602,-87.8643021
83,80,San Diego,California,US,2,2,13,15,01-03-05,Monday,15,Male,White American or European American,Handgun,0,0,1,1,0,0,Arrested,Not applicable,Yes,Secondary school,Place of schooling,Students/Classmates/Teacher,Harassment,No,Unknown,MS,32.86357277,-117.1281628
